PTS, 5.9, 6.4, 5.4
PV2, 3.0, 3.3, 2.7
PVB, 16.0, 17.6, 14.4
PVC, 9.1, 10.0, 8.2
PVE, 7.3, 8.0, 6.6
PVG, 10.7, 11.7, 9.7
PVI, 40.6, 44.6, 36.6
PVL, 2.2, 2.4, 2.0
PVS, 24.8, 27.2, 22.4
PVV, 1.3, 1.4, 1.2
PVX, 2.1, 2.3, 1.9
PXA, 1.1, 1.2, 1.0
QHD, 16.0, 17.6, 14.4
QNC, 3.3, 3.6, 3.0
QST, 11.8, 12.9, 10.7
QTC, 22.7, 24.9, 20.5
RCL, 19.0, 20.9, 17.1
S55, 20.9, 22.9, 18.9
S74, 5.0, 5.5, 4.5
S99, 5.2, 5.7, 4.7
SAF, 54.0, 59.4, 48.6
SAP, 6.5, 7.1, 5.9
SCI, 9.0, 9.9, 8.1
SCJ, 3.1, 3.4, 2.8
SCL, 3.4, 3.7, 3.1
SD2, 4.7, 5.1, 4.3
SD4, 9.4, 10.3, 8.5
SD5, 9.9, 10.8, 9.0
SD6, 6.6, 7.2, 6.0
SD7, 3.5, 3.8, 3.2
SD9, 8.5, 9.3, 7.7
SDA, 3.0, 3.3, 2.7
SDC, 14.4, 15.8, 13.0
SDD, 1.7, 1.8, 1.6
SDE, 3.6, 3.9, 3.3
SDG, 20.0, 22.0, 18.0
SDN, 35.0, 38.5, 31.5
SDP, 2.8, 3.0, 2.6
SDT, 7.8, 8.5, 7.1
SDU, 10.5, 11.5, 9.5
SEB, 50.0, 55.0, 45.0
SED, 18.1, 19.9, 16.3
SFN, 35.5, 39.0, 32.0
SGC, 64.9, 71.3, 58.5
SGD, 10.5, 11.5, 9.5
SGH, 39.8, 43.7, 35.9
SGO, 1.1, 1.2, 1.0
SHB, 13.5, 14.8, 12.2
SHN, 10.0, 11.0, 9.0
SHS, 24.5, 26.9, 22.1
SIC, 12.0, 13.2, 10.8
SJ1, 26.0, 28.6, 23.4
SJC, 13.5, 14.8, 12.2
SJE, 26.9, 29.5, 24.3
SLS, 95.6, 105.1, 86.1
SMN, 9.6, 10.5, 8.7
SMT, 20.5, 22.5, 18.5
SPI, 2.7, 2.9, 2.5
SPP, 5.7, 6.2, 5.2
SRA, 10.0, 11.0, 9.0
SSM, 12.8, 14.0, 11.6
STC, 28.8, 31.6, 26.0
STP, 4.8, 5.2, 4.4
SVN, 2.3, 2.5, 2.1
TA9, 15.0, 16.5, 13.5
TAG, 34.9, 38.3, 31.5
TBX, 9.0, 9.9, 8.1
TC6, 5.1, 5.6, 4.6
TCS, 5.0, 5.5, 4.5
TDN, 5.4, 5.9, 4.9
TET, 26.4, 29.0, 23.8
TFC, 5.1, 5.6, 4.6
TH1, 5.5, 6.0, 5.0
THB, 16.9, 18.5, 15.3
THS, 8.2, 9.0, 7.4
THT, 6.4, 7.0, 5.8
TIG, 3.7, 4.0, 3.4
TJC, 6.3, 6.9, 5.7
TKC, 26.9, 29.5, 24.3
TKU, 13.2, 14.5, 11.9
TMB, 8.6, 9.4, 7.8
TMC, 13.5, 14.8, 12.2
TMX, 8.4, 9.2, 7.6
TNG, 15.0, 16.5, 13.5
TPH, 7.3, 8.0, 6.6
TPP, 11.0, 12.1, 9.9
TSB, 8.8, 9.6, 8.0
TST, 5.0, 5.5, 4.5
TTB, 11.9, 13.0, 10.8
TTC, 18.2, 20.0, 16.4
TTH, 4.5, 4.9, 4.1
TTL, 9.7, 10.6, 8.8
TTT, 55.0, 60.5, 49.5
TTZ, 4.8, 5.2, 4.4
TV2, 128.0, 140.8, 115.2
TV3, 28.1, 30.9, 25.3
TV4, 15.6, 17.1, 14.1
TVC, 11.1, 12.2, 10.0
TVD, 4.9, 5.3, 4.5
TXM, 9.7, 10.6, 8.8
UNI, 6.8, 7.4, 6.2
V12, 10.0, 11.0, 9.0
V21, 19.4, 21.3, 17.5
VAT, 2.8, 3.0, 2.6
VBC, 25.0, 27.5, 22.5
VC1, 14.7, 16.1, 13.3
VC2, 14.6, 16.0, 13.2
VC3, 20.5, 22.5, 18.5
VC6, 8.2, 9.0, 7.4
VC7, 16.8, 18.4, 15.2
VC9, 13.0, 14.3, 11.7
VCC, 11.2, 12.3, 10.1
VCG, 24.5, 26.9, 22.1
VCM, 14.5, 15.9, 13.1
VCR, 3.0, 3.3, 2.7
VCS, 237.5, 261.2, 213.8
VDL, 27.6, 30.3, 24.9
VE1, 19.2, 21.1, 17.3
VE2, 11.4, 12.5, 10.3
VE3, 11.0, 12.1, 9.9
VE4, 10.6, 11.6, 9.6
VE8, 10.0, 11.0, 9.0
VE9, 6.3, 6.9, 5.7
VGC, 25.2, 27.7, 22.7
VGP, 23.0, 25.3, 20.7
VGS, 10.8, 11.8, 9.8
VHL, 47.1, 51.8, 42.4
VIE, 8.6, 9.4, 7.8
VIG, 3.3, 3.6, 3.0
VIT, 13.8, 15.1, 12.5
VIX, 9.7, 10.6, 8.8
VKC, 6.7, 7.3, 6.1
VLA, 11.7, 12.8, 10.6
VMC, 50.9, 55.9, 45.9
VMI, 3.1, 3.4, 2.8
VMS, 12.6, 13.8, 11.4
VNC, 43.0, 47.3, 38.7
VNF, 56.4, 62.0, 50.8
VNR, 23.7, 26.0, 21.4
VNT, 25.4, 27.9, 22.9
VPI, 37.9, 41.6, 34.2
VSA, 19.0, 20.9, 17.1
VSM, 14.4, 15.8, 13.0
VTC, 9.5, 10.4, 8.6
VTH, 13.2, 14.5, 11.9
VTJ, 7.0, 7.7, 6.3
VTL, 30.3, 33.3, 27.3
VTS, 14.0, 15.4, 12.6
VTV, 14.7, 16.1, 13.3
VXB, 12.8, 14.0, 11.6
WCS, 156.0, 171.6, 140.4
WSS, 3.6, 3.9, 3.3
